candidate_id,rank,score,reasoning
CAND_0077115,15,0.419448,"Candidate is a QA Engineer with 8.7 years experience, but lacks production ML, ranking, or retrieval experience; skills are broad but not deep in required areas; behavioral signals are moderate but not strong enough to compensate for skill mismatch."
CAND_0041753,16,0.418173,"Candidate has 9.8 years of experience but as a Cloud Engineer with no production ML or ranking system experience, and lacks relevant skills like embeddings, vector databases, or evaluation frameworks; low behavioral signals (negative GitHub activity, moderate recruiter response rate) further reduce fit."
CAND_0059210,17,0.417978,"Candidate has 9.6 years experience but title is Software Engineer, not AI/ML specialist; skills include embeddings and langchain but lack production ML systems, vector DBs, and evaluation frameworks; behavioral signals show moderate recruiter response but low GitHub activity; overall weak fit for senior AI engineer role requiring deep ML production experience."
CAND_0009357,18,0.417532,"Candidate has 9 years of experience but primarily in computer vision and data engineering, lacking production ML/NLP experience with retrieval and ranking systems; skills and trajectory do not align with the role's core requirements."
CAND_0004299,19,0.415740,"Candidate is a DevOps engineer with no production ML or ranking system experience, lacks relevant skills like embeddings or vector databases, and has negative GitHub activity, making them a poor fit for this senior AI engineering role."
CAND_0063217,20,0.413083,"Candidate has 8.7 years of experience but lacks production ML/ranking experience, with skills focused on DevOps, frontend, and general software engineering, not matching the core requirements of embeddings, retrieval, or evaluation frameworks."
CAND_0001329,21,0.412331,"Candidate has 9.4 years of experience but as a DevOps Engineer, lacking production ML/ranking experience; skills include FAISS and computer vision but no NLP/retrieval or evaluation frameworks; GitHub activity score of -1.0 is a red flag; recruiter response rate is decent but overall profile does not match the senior AI engineer role."
CAND_0099043,22,0.412082,"Candidate is a DevOps engineer with no production ML or ranking system experience, and skills are misaligned with the role's focus on retrieval and ranking."
CAND_0037966,23,0.411145,"Candidate has strong Python and some ML production experience (pgvector, BM25) but primary expertise is computer vision (image classification, object detection, GANs, ASR) with limited NLP/IR depth, and lacks evidence of building ranking or retrieval systems at scale."
CAND_0034923,24,0.410461,"Candidate has 9.7 years experience but skills (diffusion models, ASR, TTS) are in speech/vision, not NLP/IR/ranking; lacks production retrieval, vector DB, and evaluation framework experience; behavioral signals are moderate but overall profile does not match the role's core requirements."
CAND_0046298,25,0.410383,"Candidate has 9.8 years experience but title is Software Engineer with no ML production experience; skills lack depth in retrieval, ranking, or vector databases; behavioral signals show low engagement and negative GitHub activity."
CAND_0035992,26,0.409833,"Candidate has 9 years of experience but title is Software Engineer, not AI/ML specialist; skills include vector search and Python but lack production ML systems, evaluation frameworks, and NLP/IR depth; low recruiter response rate and GitHub activity suggest weak engagement."
CAND_0089500,27,0.406051,"Candidate is a DevOps engineer with 9.7 years of experience but lacks production ML/ranking system experience, has no evidence of embeddings or retrieval systems, and shows negative GitHub activity and low recruiter response rate."
CAND_0069093,28,0.405568,"Candidate has 9.8 years experience but title is Software Engineer, not AI/ML specialist; skills lack production ML, embeddings, retrieval, or ranking systems; behavioral signals show low recruiter response rate and negative GitHub activity, indicating poor engagement."
CAND_0036959,29,0.404660,"Candidate has 10 years experience but as a Cloud Engineer, not applied ML; skills include elasticsearch and langchain but lack production ML ranking/retrieval experience; low recruiter response rate and negative GitHub activity suggest weak engagement."
CAND_0053412,30,0.401966,"Candidate has 8.6 years experience but current title is Software Engineer, not AI/ML; skills include computer vision and ASR but lack NLP/IR, embeddings, vector databases, or ranking evaluation; GitHub activity score is -1.0 indicating no public contributions; low fit for this senior AI engineer role."
CAND_0087134,31,0.400868,"Candidate has 7.8 years experience but as a Data Engineer, not ML/AI; skills lack production retrieval/ranking experience and include irrelevant items like YOLO and Salesforce CRM; behavioral signals are moderate but not strong enough to compensate for missing core requirements."
CAND_0042543,32,0.400478,"Candidate has 8.6 years experience but as a Cloud Engineer, not in applied ML/AI; skills include Qdrant and LangChain but lack production ML depth; low recruiter response rate and negative GitHub activity suggest weak engagement."
CAND_0056070,33,0.394968,"Candidate has 9 years experience but title is Software Engineer, not ML-focused; skills include NLP and LangChain but lack production retrieval/ranking experience; strong behavioral signals but likely not a fit for this senior AI role."
CAND_0085516,34,0.394474,"Candidate is a DevOps engineer with no production ML or ranking system experience, lacks core skills like embeddings and retrieval, and has very low recruiter response rate and negative GitHub activity."
CAND_0089619,35,0.393954,"Candidate has 9 years experience but as a Software Engineer with skills spanning accounting, marketing, and computer vision, lacking depth in ML/IR production systems; low GitHub activity and no evidence of ranking/retrieval work."
CAND_0044867,36,0.392055,"Candidate is a DevOps engineer with no production ML or ranking system experience, lacking core requirements like embeddings, retrieval, and evaluation frameworks; behavioral signals are weak with low recruiter response rate and negative GitHub activity."
CAND_0060847,37,0.387562,"Candidate lacks production ML experience in ranking/retrieval, has no relevant NLP/IR background, and shows low recruiter response rate and GitHub activity."
CAND_0054083,38,0.387371,"Candidate has 9.8 years of experience but lacks production ML/ranking system experience and relevant AI skills, making them a poor fit for this senior AI engineer role."
CAND_0022102,39,0.386870,"Candidate has 8.9 years experience but title is Software Engineer with no ML/AI production experience; skills lack retrieval, ranking, or vector DB expertise; behavioral signals show low recruiter response rate and negative GitHub activity."
CAND_0046346,40,0.386377,"Candidate has 9.4 years of experience but lacks production ML/ranking system experience, has no embeddings or vector DB skills, and shows low recruiter response rate and negative GitHub activity, indicating poor fit for this senior AI engineer role."
CAND_0028792,41,0.386035,"Candidate has 9 years of experience but as a Software Engineer with skills in webpack, Angular, CSS, etc., lacking production ML/ranking experience; computer vision and data science skills are present but not in NLP/IR; low recruiter response rate and no evidence of relevant product-company ML work."
CAND_0045566,42,0.384968,"Candidate has 8.9 years experience but title is Software Engineer with no ML/AI production experience; skills include Pinecone and LangChain but lack depth in retrieval systems, evaluation frameworks, and production ML; behavioral signals show low recruiter response rate and negative GitHub activity, indicating poor fit for this senior AI engineering role."
CAND_0001638,43,0.384956,"Candidate has relevant skills like vector search, NLP, and transformers but title 'Analytics Engineer' and lack of explicit production ranking/retrieval experience suggest misalignment; low GitHub activity and moderate recruiter response rate reduce confidence."
CAND_0088691,44,0.384365,"Candidate has strong ML and NLP skills with production experience in Elasticsearch and feature engineering, but lacks explicit retrieval/ranking system deployment and has low behavioral signals (negative GitHub activity, moderate recruiter response rate)."
CAND_0048152,45,0.383769,"Candidate is a DevOps engineer with 9.7 years of experience, but lacks production ML, retrieval, or ranking experience; skills include Qdrant but no evidence of applied ML systems; behavioral signals are decent but overall profile does not match the senior AI engineer role."
CAND_0023592,46,0.382541,"Candidate has DevOps background with some ML exposure (embeddings, computer vision) but lacks production ranking/retrieval experience and product-company trajectory, making them a poor fit for this senior AI engineering role."
CAND_0030293,47,0.381662,"Candidate is a QA Engineer with 8.6 years of experience but lacks production ML, retrieval, or ranking system experience; skills are broad but shallow for this role, and behavioral signals are moderate."
CAND_0025177,48,0.381661,"Candidate has 9.9 years experience but title is Software Engineer, not senior/ML; skills lack core ML production experience (embeddings, retrieval, ranking) and show no evidence of building ranking systems; behavioral signals are moderate but not strong."
CAND_0058129,49,0.381555,"Candidate has 8.8 years of experience but lacks production ML/AI depth; skills are generic (spark, langchain) with no evidence of ranking/retrieval systems, and negative GitHub activity suggests low engagement."
CAND_0052414,50,0.379287,"Candidate is a QA Engineer with 9 years of experience but lacks production ML, retrieval, or ranking system experience; skills are broad but shallow in AI/ML, and behavioral signals (low GitHub activity, moderate recruiter response) suggest poor fit for this senior AI engineering role."
CAND_0012025,51,0.378431,"Candidate has 9.9 years of experience but as a Software Engineer with broad skills including marketing and SEO, lacking depth in production ML systems, retrieval, ranking, or LLMs; low recruiter response rate and negative GitHub activity indicate poor engagement."
CAND_0094419,52,0.376630,"Candidate has 9.3 years of experience but as a Software Engineer with no production ML or ranking system experience; skills are in DevOps and web frameworks, not AI/ML; LangChain alone is insufficient; low fit despite decent behavioral signals."
CAND_0099957,53,0.376449,"Candidate has relevant skills like sentence transformers, Pinecone, Weaviate, and Elasticsearch, but title 'Software Engineer' and lack of explicit production ranking/retrieval experience, plus low recruiter response rate and GitHub activity, suggest misalignment with the senior founding engineer role."
CAND_0050743,54,0.375961,"Candidate has 9+ years as a Software Engineer but lacks production ML experience in retrieval/ranking, has no relevant AI skills, and negative GitHub activity with low recruiter response rate, indicating poor fit."
CAND_0002724,55,0.374837,"Candidate has 9.5 years of experience but as a Software Engineer with skills in computer vision, project management, marketing, and sales, lacking production ML, retrieval, ranking, or NLP/IR experience, and has negative GitHub activity and low recruiter response rate."
CAND_0037520,56,0.373767,"Candidate has 9 years of experience but as a Cloud Engineer with skills in CSS, Illustrator, SAP, and Vue.js, lacking production ML/ranking experience; low fit for Senior AI Engineer role."
CAND_0006958,57,0.373540,"Candidate has 9.9 years experience but title is Software Engineer, not AI/ML specialist; skills include NLP and BM25 but lack production retrieval/ranking systems, vector databases, and evaluation frameworks; low recruiter response rate and moderate GitHub activity suggest limited engagement."
CAND_0034756,58,0.371647,"Candidate has 8.9 years experience but as a Cloud Engineer with broad but shallow skills; lacks production ML, retrieval, and ranking experience required for this role."
CAND_0058549,59,0.370633,"Candidate has 8.7 years experience but title is Software Engineer, not Senior AI Engineer; skills include NLP and pgvector but lack production ML systems experience, vector databases, and evaluation frameworks; GitHub activity score of -1.0 is a red flag; recruiter response rate is moderate."
CAND_0088462,60,0.369453,"Candidate has broad engineering experience but lacks depth in production ML systems, especially retrieval and ranking, and shows no evidence of product-company background or external validation."
CAND_0061168,61,0.369356,"Candidate has 9.3 years experience but current title is Software Engineer with no ML production experience; skills are generic (CSS, SEO) and lack core requirements like embeddings, retrieval, or ranking; low recruiter response rate and moderate GitHub activity suggest limited engagement."
CAND_0029325,62,0.368033,"Candidate has DevOps background with some relevant skills like Weaviate and LangChain, but lacks production ML experience in ranking/retrieval systems and has no evidence of applied ML at a product company."
CAND_0088775,63,0.367036,"Candidate has 8.9 years experience and relevant skills like qdrant and vector search, but lacks production ML/ranking experience and has computer vision focus instead of NLP/IR, making them a moderate fit."
CAND_0084310,64,0.365975,"Candidate has 9 years of experience but lacks production ML/AI experience in ranking/retrieval, with skills focused on data engineering and computer vision, and low behavioral signals indicating poor availability and engagement."
CAND_0045210,65,0.363658,"Candidate has 9.5 years experience but as a Cloud Engineer with no production ML or ranking system experience, and skills are broad but shallow in AI/ML, making them a poor fit for this senior AI engineering role."
CAND_0071389,66,0.361436,"Candidate is a QA Engineer with no production ML or ranking system experience, lacks required skills like embeddings and vector databases, and has negative GitHub activity, making them a poor fit for this Senior AI Engineer role."
CAND_0071756,67,0.360153,"Candidate is a frontend engineer with 9.4 years experience but lacks production ML/ranking system experience and has negative GitHub activity, making them a poor fit for this senior AI engineer role."
CAND_0009988,68,0.359876,"Candidate is a Cloud Engineer with 9.9 years of experience but lacks production ML/ranking experience, has no relevant AI skills beyond NLP listed, and shows low recruiter response rate and negative GitHub activity, indicating poor fit for this senior AI engineering role."
CAND_0058484,69,0.359684,"Candidate is a frontend engineer with no production ML or ranking system experience, lacking required skills like embeddings, vector databases, and evaluation frameworks; low recruiter response rate and negative GitHub activity further indicate poor fit."
CAND_0058359,70,0.359543,"Candidate is a QA Engineer with no production ML or ranking system experience, lacking required skills like embeddings, vector databases, and evaluation frameworks; skills are tangential (computer vision, Qdrant) but not in NLP/IR; low GitHub activity and no evidence of product-company ML work."
CAND_0039132,71,0.358470,"Candidate is a frontend engineer with no production ML or ranking system experience, lacks required skills like embeddings and vector databases, and has low recruiter response rate and negative GitHub activity."
CAND_0019385,72,0.358159,"Candidate has 9.9 years experience but title is Software Engineer with no ML production experience; skills are broad but shallow in AI/ML (only NLP and CNN listed, no retrieval or ranking); behavioral signals are poor (low recruiter response rate, negative GitHub activity)."
CAND_0069695,73,0.358087,"Candidate has 8.7 years experience but title is Software Engineer, not AI/ML specialist; skills include LangChain and fine-tuning LLMs but lack production retrieval/ranking experience; high recruiter response rate but low GitHub activity; overall weak fit for this senior AI role."
CAND_0002841,74,0.357685,"Candidate is a frontend engineer with 9.7 years of experience, but lacks production ML/ranking experience and has negative GitHub activity, making them a poor fit for this senior AI engineering role."
CAND_0022670,75,0.357155,"Candidate is a frontend engineer with no production ML or ranking system experience, and skills are mostly frontend/backend with some CV but no NLP/IR, making them a poor fit for this senior AI engineer role."
CAND_0099993,76,0.356869,"Candidate is a Cloud Engineer with 9.3 years of experience but lacks production ML/ranking system experience; skills are broad but shallow in AI/ML, and negative GitHub activity and low recruiter response rate indicate poor fit."
CAND_0009362,77,0.356573,"Candidate is a DevOps engineer with no production ML or ranking system experience, lacking required skills like embeddings, retrieval, or evaluation frameworks; low behavioral signals and irrelevant skill set indicate poor fit."
CAND_0018024,78,0.356445,"Candidate has 9.8 years experience but skills are mostly web development and computer vision, lacking production ML/ranking/retrieval experience; low GitHub activity and no relevant behavioral signals."
CAND_0006399,79,0.355534,"Candidate is a QA Engineer with no production ML or ranking system experience, lacking core requirements like embeddings, retrieval, and evaluation frameworks; skills are tangential and behavioral signals are weak."
CAND_0069141,80,0.355245,"Candidate has 9.9 years of experience but as a Software Engineer with no production ML or ranking system experience, and skills like dbt, airflow, and ASR do not align with the required embeddings, retrieval, or evaluation expertise."
CAND_0064679,81,0.354951,"Candidate is a DevOps engineer with no production ML or ranking system experience, lacking core requirements like embeddings, retrieval, and evaluation frameworks; low behavioral signals further reduce fit."
CAND_0079537,82,0.354881,"Candidate has 9.6 years experience but title is Software Engineer, not Senior AI Engineer; skills include NLP and BM25 but lack production retrieval/ranking experience; low GitHub activity and moderate recruiter response rate suggest weak engagement."
CAND_0064584,83,0.354632,"Candidate has 9 years experience but as a Software Engineer with no production ML or ranking system experience, skills are broad but shallow in AI/ML, and low GitHub activity and recruiter response rate indicate poor fit."
CAND_0082977,84,0.354183,"Candidate is a QA Engineer with 8.7 years experience but lacks production ML/ranking system experience, has no relevant deep learning or retrieval skills, and shows low engagement signals."
CAND_0022616,85,0.354061,"Candidate is a QA Engineer with 9.7 years of experience but lacks production ML/ranking system experience, has no relevant skills like embeddings or vector databases, and skills are scattered across unrelated domains; low fit for Senior AI Engineer role."
CAND_0058944,86,0.353648,"Candidate is a frontend engineer with no production ML or ranking system experience, lacking required skills like embeddings, vector databases, and evaluation frameworks; low recruiter response rate and GitHub activity further reduce fit."
CAND_0056188,87,0.353587,"Candidate has 8.7 years experience but title is Software Engineer with no ML production depth; skills are broad but shallow (GANs, RL, TTS, SAP, marketing) and lack core retrieval/ranking/embedding experience; low recruiter response rate and moderate GitHub activity suggest limited fit for this senior AI role."
CAND_0046398,88,0.352570,"Candidate is a QA Engineer with 8 years experience, but lacks production ML/ranking system deployment and has no evidence of building retrieval or ranking systems; skills are broad but shallow for this role, and negative GitHub activity and low recruiter response rate indicate weak behavioral fit."
CAND_0097147,89,0.351649,"Candidate has 9.5 years experience but title is Software Engineer with no ML production experience; skills include computer vision and BM25 but lack embeddings, vector databases, and evaluation frameworks; behavioral signals show low recruiter response rate and negative GitHub activity, indicating poor fit for this senior AI role."
CAND_0087475,90,0.349182,"Candidate has 9.8 years of experience but lacks production ML/ranking experience, with skills focused on non-ML tools (langchain, tally, agile, airflow, kafka, webpack, figma) and no evidence of embeddings, retrieval, or evaluation frameworks, making them a poor fit for this senior AI engineer role."
CAND_0034388,91,0.346458,"Candidate is a Cloud Engineer with no production ML or ranking system experience, lacks required skills like embeddings and retrieval, and has low recruiter response rate and negative GitHub activity."
CAND_0073828,92,0.345456,"Candidate has cloud engineering background with some relevant skills like vector search and Elasticsearch, but lacks production ML experience in ranking/retrieval systems and has no evidence of applied ML at a product company; low recruiter response rate and negative GitHub activity further reduce fit."
CAND_0086897,93,0.344433,"Candidate is a Cloud Engineer with no production ML or ranking system experience, lacking core requirements like embeddings, vector databases, and evaluation frameworks; skills are tangential and behavioral signals are weak."
CAND_0038882,94,0.342945,"Candidate has 9 years experience but title is Software Engineer, not AI/ML specialist; skills include computer vision and recommendation systems but lack NLP/IR focus; no production ML deployment evidence; negative GitHub activity and low recruiter response rate indicate weak engagement."
CAND_0091653,95,0.342634,"Candidate is a Frontend Engineer with 8.7 years experience but lacks production ML/ranking system experience; skills like semantic search and PEFT are listed but not backed by relevant role history, and behavioral signals show low recruiter response rate and GitHub activity."
CAND_0000719,96,0.341786,"Candidate has 8.8 years experience but title is Software Engineer, not AI/ML specialist; skills include FAISS and PEFT but also computer vision (explicitly not wanted) and no production retrieval/ranking experience; low recruiter response rate and negative GitHub activity suggest weak engagement."
CAND_0074471,97,0.341485,"Candidate is a frontend engineer with 9.4 years experience, but lacks production ML/ranking experience and has no evidence of shipping retrieval or ranking systems; skills like Qdrant and LlamaIndex are listed but likely superficial, and negative GitHub activity is a concern."
CAND_0023573,98,0.341268,"Candidate has 8.9 years experience but as a Software Engineer with no production ML or ranking system experience; skills are broad but shallow in AI/ML (only BM25 and LangChain), and negative GitHub activity suggests lack of external validation."
CAND_0093036,99,0.340665,"Candidate is a QA Engineer with 9.6 years experience but lacks production ML, retrieval, or ranking system experience; skills are mismatched (e.g., Tally, Excel, Computer Vision) and GitHub activity is negative, indicating poor fit for this senior AI engineering role."
CAND_0070163,100,0.340140,"Candidate is a Frontend Engineer with 9.4 years experience, but lacks production ML and ranking system experience; skills include learning to rank and Qdrant but no evidence of deployment; low GitHub activity and recruiter response rate suggest limited engagement."
